epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,83.5706,0.85617,0.7841,0.90268,1,1,0.995,0.6965,1.40056,0.65813,1.40149,0.000482,0.000482,0.000482
48,85.2117,0.79612,0.68791,1.00037,1,1,0.995,0.6965,1.40056,0.65813,1.40149,0.000449,0.000449,0.000449
49,86.8792,0.75945,0.71869,0.92537,0.96384,1,0.995,0.796,1.18692,0.63295,1.26353,0.000416,0.000416,0.000416
50,88.4942,0.74493,0.7832,0.83221,0.96384,1,0.995,0.796,1.18692,0.63295,1.26353,0.000383,0.000383,0.000383
51,94.3254,0.63348,0.79425,0.9562,0.96255,1,0.995,0.796,0.98581,0.62526,1.16286,0.00035,0.00035,0.00035
52,96.0353,0.54613,0.59223,0.71925,0.95759,1,0.995,0.796,0.87074,0.62277,1.1017,0.000317,0.000317,0.000317
53,97.6677,0.66813,0.73725,0.99645,0.95759,1,0.995,0.796,0.87074,0.62277,1.1017,0.000284,0.000284,0.000284
54,99.3074,0.72929,0.93717,1.04949,0.94867,1,0.995,0.796,0.83143,0.67093,1.07994,0.000251,0.000251,0.000251
55,101.133,0.95563,0.87331,1.23747,0.93503,1,0.995,0.796,0.79666,0.81962,1.06867,0.000218,0.000218,0.000218
56,102.455,0.44303,0.82032,0.6627,0.93503,1,0.995,0.796,0.79666,0.81962,1.06867,0.000185,0.000185,0.000185
57,104.129,1.01302,0.94058,1.36165,0.92453,1,0.995,0.796,0.79551,0.90013,1.07447,0.000152,0.000152,0.000152
58,105.76,0.96301,0.96031,1.11698,0.92453,1,0.995,0.796,0.79551,0.90013,1.07447,0.000119,0.000119,0.000119
59,107.398,0.59736,0.71827,0.9584,0.91721,1,0.995,0.796,0.82595,0.94073,1.09183,8.6e-05,8.6e-05,8.6e-05
60,109.012,0.68884,0.76304,1.02316,0.91632,1,0.995,0.796,0.79847,0.97385,1.0808,5.3e-05,5.3e-05,5.3e-05
